"Title","CPIH WEIGHTS 11.1.1.2 Fast food and take away food services"
"CDID","J4XS"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","17-10-2018"
"Next release","14 November 2018"
"Important notes",
"2015","18.50"
"2016","18.50"
"2017","17.50"
"2018","17.25"
