"Figure 1: Life expectancy at birth, constituent countries",""
"2014 to 2016",""
"",""
"Notes",""
"Unit","Years"
"",""
"Country","Males","Females"
"England","79.5","83.1"
"Northern Ireland","78.5","82.3"
"Wales","78.4","82.4"
"Scotland","77.1","81.2"
